"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"FERRITE_0603MP";"_0603MP";"FB1, FB2";"Ferrite Bead";"";"BLM18RK102SN1D";"";"";
"2";"";"HEADER-1X1ROUND";"1X01_ROUND";"PROG, STAT";"PIN HEADER";"";"";"";"";
"1";"";"HEADER-1X6ROUND";"1X06_ROUND";"JTAG/HSPI";"PIN HEADER";"";"";"";"";
"1";"";"JST_2PIN";"JSTPH2";"CN_LIPO";"JST 2-Pin Right-Angle Connector";"";"S2B-PH-SM4-TB(LF)(SN)";"";"";
"1";"";"SWITCH_SPDT";"SPDT_SMT_SSSS811101";"SWPOWER";"Switch - SPDT";"";"SSSS811101";"";"";
"4";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"C8, C9, C11, C13";"Ceramic Capacitors";"";"CC0402KRX7R6BB104";"";"";
"1";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"C3";"Ceramic Capacitors";"";"GRM155R60J474KE19D";"";"";
"4";"100";"RESISTOR_0402MP";"_0402MP";"R7, R8, R9, R10";"Resistors";"";"CPF0402B100RE1";"";"";
"2";"10K";"RESISTOR_0402MP";"_0402MP";"R6, R11";"Resistors";"";"CRCW040210K0FKED";"";"";
"1";"10nF";"CAP_CERAMIC_0402MP";"_0402MP";"C10";"Ceramic Capacitors";"";"GRM155R71E103KA01D";"";"";
"1";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"C7";"Ceramic Capacitors";"";"C1608X5R1A106K080AC";"";"";
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C1, C2";"Ceramic Capacitors";"";"C1005X5R0J225K050BC";"";"";
"7";"270";"RESISTOR_0402MP";"_0402MP";"R1, R2, R12, R13, R14, R15, R16";"Resistors";"";"CRCW0402270RFKED";"";"";
"1";"2K";"RESISTOR_0402MP";"_0402MP";"R4";"Resistors";"";"CPF0402B2K0E1";"";"";
"1";"3.3V";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO1";"Microchip LDO "MCP1700" in a 3-Pin SOT-23 package.";"";"MCP1700T-3302E/TT";"";"";
"3";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"C4, C5, C12";"Ceramic Capacitors";"";"GRM155R60G475ME47D";"";"";
"1";"DNP";"HEADER-1X4ROUND";"1X04_ROUND";"UART";"PIN HEADER";"";"";"";"";
"1";"DNP";"HEADER-1X8";"1X08_OVAL";"POWER";"PIN HEADER";"";"";"";"";
"1";"DNP";"PINHD-1X3";"1X03";"JP4";"PIN HEADER";"";"";"";"";
"1";"DNP";"PINHD-1X5";"1X05";"JP3";"PIN HEADER";"";"";"";"";
"1";"DNP";"PINHD-1X9";"1X09";"JP1";"PIN HEADER";"";"";"";"";
"2";"DNP";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SJ1, SJ2";"SMD Solder JUMPER";"";"";"";"";
"1";"ESP32-WROOM-32";"ESP32-WROOM-32";"ESP32-WROOM-32-MODULE";"MOD1";"ESP32 WiFi/Bluetooth module";"";"ESP32-WROOM-32";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"FID1, FID2, FID3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";
"1";"FT232RQ";"FT232RQ";"QFN32";"IC1";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";"FT232RQ-REEL";"1146033";"91K9919";
"3";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED_OK, LED_RX, LED_TX";"LED";"";"350-2035-1-ND";"";"";
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"RGB1";"OSRAM RGB LED";"";"LRTB R48G";"";"";
"1";"MCP73831-2ACI/MC";"MCP73831-2ACI/MC";"2X3_DFN";"LIPO1";"";"";"MCP73831-2ACI/MC";"";"";
"1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED_CHG";"LED";"";"350-2029-1-ND";"";"";
"2";"SI4948BEY-T1-E3";"SI4948BEY-T1-E3";"SO-8";"PCHAN1, PCHAN2";"Vishay dual P-Channel Mosfet SI4948BEY-T1-E3";"";"SI4948BEY-T1-E3";"";"";
"1";"TACTILE_SWITCH_NO_GND_NO_BOSS";"TACTILE_SWITCH_NO_GND_NO_BOSS";"SIDE_ACT_NO_GND_NO_BOSS";"BOOT";"Omron tactile switch";"";"B3U-3000P";"";"";
"1";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"U$14";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"";"ZX62-B-5PA(33)";"";"";
