Qty,Value,Device,Package,Parts,Description,MFR_ID
2,,FERRITE_0603MP,_0603MP,"FB1, FB2",Ferrite Bead,BLM18RK102SN1D
1,,USB_TYPEA,USB_A-SMT,CN1,USB - Type A Connectors,Keystone 931
7,0.1uF,CAPACITOR_0201,PART,"C1, C2, C8, C9, C10, C16, C17",,GRM033C80J104KE84D
1,0.47uF,CAPACITOR_0201,PART,C7,,C0603X5R0J474K030BC
1,479480001,479480001,479480001,U$6,,51T4020
1,1.2pF,CAP_CERAMIC_0402MP,_0402MP,C11,Ceramic Capacitors,GRM1555C1H1R2BA01D
1,1.8nH,INDUCTOR_0603MP,_0603MP,L1,Inductors,L-14C1N8SV4T
1,10K,RESISTOR_0201,PART,R2,,RC0402FR-0710KL
2,10uF,CAP_CERAMIC_0402MP,_0402MP,"C21, C22",Ceramic Capacitors,AMK105CBJ106MV-F
1,10uH,INDUCTOR_0603MP,_0603MP,L6,Inductors,LQM18FN100M00D
1,16MHz,TSX-3225,TSX-3225,XOSCRF,,TSX-3225 16.0000MF09Z-AC0
1,DNP,1X5_ROUND,1X5_ROUND,U$1,,
2,2.2uF,CAP_CERAMIC_0402MP,_0402MP,"C5, C6",Ceramic Capacitors,C1005X5R1A225K050BC
5,22pF,CAPACITOR_0201,PART,"C18, C19, C20, C23, C24",,GRM0335C1E220JA01D
4,330,RESISTOR_0201,PART,"R1, R4, R6, R7",,CRCW0201330RJNED
2,9pF,CAPACITOR_0201,PART,"C14, C15",,C0603C0G1E090B030BG
1,AS222-92LF,AS222-92LF,AS222-92LF,ASWITCH,,AS222-92LF
1,ATSAMR21E18A-MUT,ATSAMR21E18A-MUT,QFN32,U$76,This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A,ATSAMR21E18A-MFT
1,DNP,CAPACITOR_0201,PART,C13,,
1,DNP,SPST_SMD,SPST_SMD,BTN,,
3,FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,"FID1, FID2, FID3","For use by pick and place machines to calibrate the vision/machine, 1mm",
1,JOHANSON_2450BM15A0015E,JOHANSON_2450BM15A0015E,0805_BALUN,U$12,,2450BM15A0015E
1,LRTB_R48G,LRTB_R48G,LRTB_R48G,RGBLED,,LRTB R48G
1,MCP1700T-3302E/TT,MCP1700T-3302E/TT,MCP1700T-3302E/TT,LDO_VREG,"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.",MCP1700T-3302E/TT
1,uFL,ANTENNA_U.FL,U.FL,UFLANT,U.FL Antenna Connector,734120110
