"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_PART"
"1";;"BLM18RK102SN1D";"_0603MP";"FB1";"Ferrite Bead";
"10";"0.1uF";"GRM033C80J104KE84D";"_0201";"C1, C2, C8, C9, C10, C16, C17, C29, C30, C32";;"490-9980-1-ND"
"1";"0.47uF";"C0603X5R1A474M030BC";"_0201";"C7";;
"1";"10K";"CRCW020110K0FNED";"_0201";"R2";;
"1";"10nF (10000pF)";"GRM033R71E102KA01D";"_0201";"C31";;"490-3184-1-ND"
"2";"10uF";"AMK105CBJ106MV-F";"_0402MP";"C21, C22";"Ceramic Capacitors";
"1";"10uH";"LQM18FN100M00D";"_0603MP";"L6";"Inductors";
"1";"16MHz";"TSX-3225 16.0000MF09Z-AC3";"TSX-3225";"SER3628CT-ND";;
"19";"DNP";"1X1_ROUND";"1X1_ROUND";"U$1, U$2, U$5, U$7, U$9, U$10, U$35, U$36, U$37, U$38, U$39, U$41, U$42, U$43, U$45, U$46, U$47, U$48, U$54";;
"2";"2.2K";"CRCW02012K20JNED";"_0201";"R8, R9";;
"2";"2.2uF";"C1005X5R1A225K050BC";"_0201";"C5, C6";;
"2";"22pF, C0G, 5%";"GRM0335C1E220JA01D";"_0201";"C11, C12";;"490-1253-1-ND"
"1";"26MHz";"TSX-3225 26.0000MF09Z-AC3";"TSX-3225";"TSX-3225";;
"2";"330";"CRCW0201330RJNED";"_0201";"R1, R4";;
"4";"9pF";"C0603C0G1E090B030BG";"_0201";"C3, C4, C14, C15";;
"1";"ATSAMR21E18A-MUT";"ATSAMR21E18A-MUT";"QFN32";"U$76";"This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A";
"1";"BLUE";"598-8091-107F";"CHIPLED_0603_NOOUTLINE";"LED2";"LED";
"1";"DNP";;"_0201";"C13";;
"1";"DNP";"SPST_SMD";"SPST_SMD";"BTN";;
"1";"JOHANSON_2450BM15A0015E";"2450BM15A0015E";"0805_BALUN";"U$12";;
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.";
"1";"MPU-9250";"MPU-9250";"QFN_3X3MM";"U$6";;
"1";"MS5611-01BA03";"MS561101BA03-50";"MS5611-01BA03";"U$44";;
"1";"PULSE_ANT_2.4GHZ";"W3008";"ANT_BAR";"ANT1";"Manufacturer part #W3008";
"1";"USB_MICROB";"ZX62-B-5PA(11)";"USB_MICROB_PACKAGE";"U$8";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";
