Qty;Value;Device;Package;Parts;Description;MFR_ID
1;;ANTENNA_U.FL;U.FL;UFLANT;U.FL Antenna Connector;734120110
1;;FERRITE_0603MP;_0603MP;FB1;Ferrite Bead;BLM18RK102SN1D
10;0.1uF;CAPACITOR_0201;PART;C1, C2, C8, C9, C10, C16, C17, C29, C30, C32;;CL03A104KP3NNNC
1;0.47uF;CAPACITOR_0201;PART;C7;;C0603X5R0J474K030BC
1;479480001;479480001;479480001;ANT_SMD;;479480001
1;1.2pF;CAP_CERAMIC_0402MP;_0402MP;C11;Ceramic Capacitors;GRM1555C1H1R2BA01D
1;1.8nH;INDUCTOR_0603MP;_0603MP;L1;Inductors;L-14C1N8SV4T
1;10K;RESISTOR_0201;PART;R2;;RC0402FR-0710KL
1;10nF;CAPACITOR_0201;PART;C31;;GRM033R71A103KA01D
2;10uF;CAP_CERAMIC_0402MP;_0402MP;C21, C22;Ceramic Capacitors;490-13233-1-ND
1;10uH;INDUCTOR_0603MP;_0603MP;L6;Inductors;LQM18FN100M00D
1;16MHz;TSX-3225;TSX-3225;XOSCRF;;TSX-3225 16.0000MF09Z-AC0
2;2.2K;RESISTOR_0201;PART;R8, R9;;CRCW02012K20JNED
2;2.2uF;CAP_CERAMIC_0402MP;_0402MP;C5, C6;Ceramic Capacitors;C1005X5R1A225K050BC
5;22pF, C0G, 5%;CAPACITOR_0201;PART;C12, C18, C19, C20, C23;;GRM0335C1E220JA01D
4;330;RESISTOR_0201;PART;R1, R4, R6, R7;;CRCW0201330RJNED
1;330;RESISTOR_0402;_0402;R3;Resistors;CRCW0402330RJNED
2;9pF;CAPACITOR_0201;PART;C14, C15;;C0603C0G1E090B030BG
1;AS222-92LF;AS222-92LF;AS222-92LF;ASWITCH;;AS222-92LF
1;ATSAMR21E18A-MUT;ATSAMR21E18A-MUT;QFN32;IC;This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A;ATSAMR21E18A-MFT
1;JOHANSON_2450BM15A0015E;JOHANSON_2450BM15A0015E;0805_BALUN;BALUN;;2450BM15A0015E
1;LRTB_R48G;LRTB_R48G;LRTB_R48G;RGBLED;;LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB
1;MCP1700T-3302E/TT;MCP1700T-3302E/TT;MCP1700T-3302E/TT;LDO_VREG;"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.";MCP1700T-3302E/TT
1;MPU-9250;MPU-9250;QFN_3X3MM;IMU;;MPU-9250
1;MS5611-01BA03;MS5611-01BA03;MS5611-01BA03;BARO;;MS561101BA03-50
1;USB_MICROB;USB_MICROB;USB_MICROB_PACKAGE;USB;This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.;ZX62-B-5PA(33)
